poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
930	210	307.732	306.132	310.838	0.014	0.004	0.032
935	210	306.122	303.510	310.311	0.011	0.004	0.025
940	210	308.592	304.839	314.292	0.010	0.004	0.022
945	210	309.331	306.126	315.325	0.010	0.004	0.022
950	210	312.274	308.139	318.267	0.012	0.004	0.028
955	210	310.300	307.244	316.193	0.011	0.004	0.022
960	210	311.698	308.230	317.193	0.014	0.004	0.033
965	210	312.344	309.467	317.872	0.011	0.004	0.018
970	210	313.007	310.648	317.320	0.010	0.004	0.015
975	210	312.969	310.193	317.263	0.011	0.004	0.023
980	210	255.832	254.121	257.542	0.021	0.005	0.038
985	210	261.337	260.365	262.309	0.021	0.011	0.031
990	210	315.284	313.103	319.646	0.014	0.004	0.035
995	210	318.935	315.688	323.278	0.009	0.004	0.019
1000	210	319.185	314.166	324.518	0.016	0.004	0.039
1005	210	320.291	315.685	325.519	0.010	0.004	0.023
1010	210	318.043	312.629	324.633	0.013	0.004	0.032
1015	210	320.862	315.878	327.458	0.009	0.004	0.018
1020	210	321.802	316.988	327.704	0.008	0.004	0.015
1025	210	323.246	317.935	329.161	0.012	0.004	0.027
1030	210	323.794	318.810	329.544	0.014	0.004	0.032
1035	210	322.980	317.891	327.666	0.010	0.004	0.022
1040	210	324.038	320.014	328.098	0.014	0.004	0.034
1045	210	324.566	321.123	327.649	0.013	0.004	0.030
1050	210	324.220	321.734	325.516	0.014	0.004	0.033
1055	210	324.937	321.537	327.186	0.015	0.004	0.038
1060	210	325.816	323.366	327.926	0.010	0.004	0.022
1065	210	326.523	323.449	329.174	0.015	0.004	0.038
1070	210	328.075	326.126	330.120	0.015	0.004	0.036
1075	210	327.095	324.919	328.624	0.016	0.004	0.039
1080	210	328.021	324.925	330.797	0.015	0.004	0.037
1085	210	325.898	323.723	327.981	0.012	0.004	0.027
1090	210	326.507	322.395	330.326	0.010	0.004	0.022
1095	210	326.826	324.226	329.680	0.010	0.004	0.022
1100	210	327.377	325.051	329.258	0.011	0.004	0.025
1105	210	328.339	326.269	330.476	0.014	0.004	0.034
1110	210	330.940	329.810	332.178	0.008	0.004	0.015
1115	210	331.127	328.704	333.186	0.008	0.004	0.017
1120	210	331.676	329.600	332.734	0.011	0.004	0.026
1125	210	330.463	326.663	332.428	0.013	0.004	0.030
1130	210	331.229	326.789	334.255	0.008	0.004	0.016
1135	210	331.094	327.419	333.104	0.011	0.004	0.024
1140	210	331.817	327.739	334.000	0.008	0.004	0.016
1145	210	332.039	328.824	334.430	0.010	0.004	0.022
1150	210	331.715	327.537	334.397	0.012	0.004	0.027
1155	210	333.006	328.960	335.331	0.014	0.004	0.034
1160	210	332.088	328.136	335.368	0.014	0.004	0.033
1165	210	334.411	331.262	336.740	0.008	0.004	0.016
1170	210	335.000	330.615	338.262	0.013	0.004	0.031
1175	210	332.098	328.456	335.352	0.012	0.004	0.027
