poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
5840	50	253.943	250.508	257.379	0.004	0.004	0.004
5860	50	254.981	251.066	258.896	0.004	0.004	0.004
5880	50	255.586	252.533	258.639	0.004	0.004	0.004
5900	50	256.616	253.087	260.145	0.004	0.004	0.004
5920	50	257.208	254.549	259.868	0.004	0.004	0.004
5940	50	258.231	255.096	261.365	0.004	0.004	0.004
5960	50	257.888	254.717	261.059	0.004	0.004	0.004
5980	50	259.355	256.163	262.546	0.004	0.004	0.004
20	70	0.014	0.014	0.014	0.065	0.043	0.086
40	70	0.024	0.024	0.024	0.005	0.005	0.005
60	70	0.034	0.034	0.035	0.005	0.005	0.006
80	70	0.045	0.043	0.047	0.005	0.004	0.005
100	70	0.056	0.052	0.059	0.124	0.116	0.132
120	70	0.068	0.065	0.070	0.008	0.007	0.008
140	70	0.078	0.078	0.078	0.004	0.004	0.004
160	70	0.089	0.083	0.094	0.004	0.004	0.004
180	70	0.099	0.098	0.100	0.005	0.005	0.005
200	70	0.115	0.104	0.126	0.006	0.004	0.008
220	70	0.124	0.117	0.131	0.004	0.004	0.004
240	70	0.137	0.135	0.139	0.005	0.004	0.005
260	70	0.144	0.141	0.148	0.004	0.004	0.004
280	70	0.161	0.150	0.172	0.004	0.004	0.004
300	70	0.178	0.158	0.197	0.009	0.004	0.014
320	70	0.187	0.170	0.205	0.004	0.004	0.004
340	70	0.198	0.180	0.215	0.004	0.004	0.004
360	70	0.212	0.203	0.220	0.006	0.006	0.007
380	70	0.220	0.215	0.225	0.004	0.004	0.004
400	70	0.234	0.233	0.236	0.004	0.004	0.004
420	70	0.250	0.250	0.250	0.004	0.004	0.004
440	70	0.267	0.254	0.280	0.004	0.004	0.004
460	70	0.279	0.268	0.290	0.004	0.004	0.004
480	70	0.294	0.275	0.313	0.004	0.004	0.004
500	70	0.313	0.288	0.339	0.004	0.004	0.004
520	70	0.326	0.285	0.366	0.008	0.005	0.011
540	70	0.355	0.312	0.399	0.004	0.004	0.005
560	70	0.368	0.316	0.419	0.004	0.004	0.004
580	70	0.398	0.333	0.462	0.004	0.004	0.004
600	70	0.424	0.345	0.503	0.016	0.004	0.027
620	70	0.507	0.434	0.580	0.012	0.006	0.018
640	70	0.445	0.375	0.515	0.004	0.004	0.004
660	70	0.473	0.403	0.544	0.004	0.004	0.004
680	70	0.484	0.409	0.558	0.004	0.004	0.004
700	70	0.500	0.429	0.571	0.006	0.004	0.008
720	70	0.557	0.488	0.627	0.008	0.007	0.009
740	70	0.530	0.463	0.597	0.004	0.004	0.004
760	70	0.550	0.487	0.613	0.004	0.004	0.004
780	70	0.578	0.519	0.637	0.004	0.004	0.004
800	70	0.619	0.557	0.682	0.004	0.004	0.004
820	70	0.629	0.574	0.685	0.004	0.004	0.004
840	70	0.637	0.573	0.702	0.004	0.004	0.004
860	70	0.651	0.607	0.694	0.004	0.004	0.004
880	70	0.688	0.638	0.738	0.004	0.004	0.004
900	70	0.717	0.676	0.757	0.004	0.004	0.004
920	70	0.745	0.705	0.784	0.004	0.004	0.004
940	70	0.751	0.715	0.787	0.004	0.004	0.004
960	70	0.755	0.718	0.792	0.004	0.004	0.004
980	70	0.853	0.814	0.891	0.004	0.004	0.004
1000	70	0.869	0.840	0.898	0.004	0.004	0.004
1020	70	0.913	0.884	0.942	0.004	0.004	0.004
1040	70	0.926	0.922	0.930	0.004	0.004	0.004
1060	70	0.949	0.936	0.962	0.004	0.004	0.004
1080	70	0.962	0.945	0.978	0.005	0.004	0.005
1100	70	1.022	1.003	1.041	0.004	0.004	0.004
1120	70	1.083	1.075	1.091	0.004	0.004	0.004
1140	70	1.146	1.143	1.149	0.004	0.004	0.004
1160	70	1.187	1.184	1.189	0.004	0.004	0.004
1180	70	1.203	1.198	1.207	0.004	0.004	0.004
1200	70	1.297	1.285	1.310	0.004	0.004	0.004
1220	70	1.372	1.358	1.386	0.004	0.004	0.004
1240	70	1.458	1.434	1.483	0.004	0.004	0.004
1260	70	1.474	1.452	1.496	0.004	0.004	0.004
1280	70	1.683	1.650	1.716	0.004	0.004	0.004
1300	70	1.743	1.701	1.784	0.004	0.004	0.004
1320	70	1.852	1.798	1.906	0.004	0.004	0.005
1340	70	1.826	1.775	1.878	0.004	0.004	0.004
1360	70	2.043	1.971	2.115	0.004	0.004	0.004
1380	70	2.219	2.139	2.299	0.004	0.004	0.004
