poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
1015	50	0.507	0.507	0.507	0.004	0.004	0.004
1020	50	0.517	0.517	0.517	0.004	0.004	0.004
1025	50	0.514	0.514	0.514	0.004	0.004	0.004
1030	50	0.534	0.534	0.534	0.004	0.004	0.004
1035	50	0.505	0.505	0.505	0.004	0.004	0.004
1040	50	0.513	0.513	0.513	0.004	0.004	0.004
1045	50	0.535	0.535	0.535	0.004	0.004	0.004
1050	50	0.532	0.532	0.532	0.004	0.004	0.004
1055	50	0.526	0.526	0.526	0.004	0.004	0.004
1060	50	0.527	0.527	0.527	0.004	0.004	0.004
1065	50	0.516	0.516	0.516	0.004	0.004	0.004
1070	50	0.519	0.519	0.519	0.004	0.004	0.004
1075	50	0.541	0.541	0.541	0.004	0.004	0.004
1080	50	0.554	0.554	0.554	0.004	0.004	0.004
1085	50	0.538	0.538	0.538	0.004	0.004	0.004
1090	50	0.539	0.539	0.539	0.004	0.004	0.004
1095	50	0.548	0.548	0.548	0.004	0.004	0.004
1100	50	0.538	0.538	0.538	0.004	0.004	0.004
1105	50	0.561	0.561	0.561	0.004	0.004	0.004
1110	50	0.556	0.556	0.556	0.004	0.004	0.004
1115	50	0.560	0.560	0.560	0.004	0.004	0.004
1120	50	0.558	0.558	0.558	0.004	0.004	0.004
1125	50	0.548	0.548	0.548	0.004	0.004	0.004
1130	50	0.525	0.525	0.525	0.004	0.004	0.004
1135	50	0.581	0.581	0.581	0.004	0.004	0.004
1140	50	0.572	0.572	0.572	0.004	0.004	0.004
1145	50	0.569	0.569	0.569	0.004	0.004	0.004
1150	50	0.590	0.590	0.590	0.004	0.004	0.004
1155	50	0.582	0.582	0.582	0.004	0.004	0.004
1160	50	0.569	0.569	0.569	0.004	0.004	0.004
1165	50	0.578	0.578	0.578	0.004	0.004	0.004
1170	50	0.597	0.597	0.597	0.004	0.004	0.004
1175	50	0.611	0.611	0.611	0.004	0.004	0.004
1180	50	0.585	0.585	0.585	0.004	0.004	0.004
1185	50	0.581	0.581	0.581	0.004	0.004	0.004
1190	50	0.616	0.616	0.616	0.004	0.004	0.004
1195	50	0.601	0.601	0.601	0.004	0.004	0.004
1200	50	0.578	0.578	0.578	0.004	0.004	0.004
1205	50	0.607	0.607	0.607	0.004	0.004	0.004
1210	50	0.602	0.602	0.602	0.004	0.004	0.004
1215	50	0.596	0.596	0.596	0.004	0.004	0.004
1220	50	0.614	0.614	0.614	0.004	0.004	0.004
1225	50	0.610	0.610	0.610	0.004	0.004	0.004
1230	50	0.592	0.592	0.592	0.004	0.004	0.004
1235	50	0.615	0.615	0.615	0.004	0.004	0.004
1240	50	0.617	0.617	0.617	0.004	0.004	0.004
1245	50	0.623	0.623	0.623	0.004	0.004	0.004
1250	50	0.631	0.631	0.631	0.004	0.004	0.004
1255	50	0.657	0.657	0.657	0.004	0.004	0.004
1260	50	0.627	0.627	0.627	0.004	0.004	0.004
1265	50	0.652	0.652	0.652	0.004	0.004	0.004
1270	50	0.628	0.628	0.628	0.004	0.004	0.004
1275	50	0.635	0.635	0.635	0.004	0.004	0.004
1280	50	0.635	0.635	0.635	0.004	0.004	0.004
1285	50	0.648	0.648	0.648	0.004	0.004	0.004
1290	50	0.657	0.657	0.657	0.004	0.004	0.004
1295	50	0.624	0.624	0.624	0.004	0.004	0.004
1300	50	0.651	0.651	0.651	0.004	0.004	0.004
1305	50	0.657	0.657	0.657	0.005	0.005	0.005
1310	50	0.664	0.664	0.664	0.004	0.004	0.004
1315	50	0.643	0.643	0.643	0.004	0.004	0.004
1320	50	0.661	0.661	0.661	0.004	0.004	0.004
1325	50	0.658	0.658	0.658	0.004	0.004	0.004
1330	50	0.617	0.617	0.617	0.004	0.004	0.004
1335	50	0.641	0.641	0.641	0.004	0.004	0.004
1340	50	0.678	0.678	0.678	0.004	0.004	0.004
1345	50	0.666	0.666	0.666	0.004	0.004	0.004
1350	50	0.665	0.665	0.665	0.004	0.004	0.004
1355	50	0.678	0.678	0.678	0.004	0.004	0.004
1360	50	0.692	0.692	0.692	0.004	0.004	0.004
1365	50	0.668	0.668	0.668	0.004	0.004	0.004
1370	50	0.675	0.675	0.675	0.004	0.004	0.004
1375	50	0.705	0.705	0.705	0.004	0.004	0.004
1380	50	0.701	0.701	0.701	0.004	0.004	0.004
1385	50	0.666	0.666	0.666	0.004	0.004	0.004
1390	50	0.701	0.701	0.701	0.004	0.004	0.004
1395	50	0.697	0.697	0.697	0.004	0.004	0.004
1400	50	0.689	0.689	0.689	0.004	0.004	0.004
1405	50	0.699	0.699	0.699	0.004	0.004	0.004
1410	50	0.712	0.712	0.712	0.004	0.004	0.004
1415	50	0.735	0.735	0.735	0.004	0.004	0.004
1420	50	0.741	0.741	0.741	0.004	0.004	0.004
1425	50	0.691	0.691	0.691	0.004	0.004	0.004
1430	50	0.719	0.719	0.719	0.004	0.004	0.004
1435	50	0.725	0.725	0.725	0.004	0.004	0.004
1440	50	0.726	0.726	0.726	0.004	0.004	0.004
1445	50	0.692	0.692	0.692	0.004	0.004	0.004
1450	50	0.723	0.723	0.723	0.004	0.004	0.004
1455	50	0.750	0.750	0.750	0.004	0.004	0.004
1460	50	0.763	0.763	0.763	0.004	0.004	0.004
1465	50	0.719	0.719	0.719	0.004	0.004	0.004
1470	50	0.768	0.768	0.768	0.004	0.004	0.004
1475	50	0.738	0.738	0.738	0.004	0.004	0.004
1480	50	0.742	0.742	0.742	0.004	0.004	0.004
1485	50	0.739	0.739	0.739	0.004	0.004	0.004
1490	50	0.748	0.748	0.748	0.004	0.004	0.004
1495	50	0.747	0.747	0.747	0.004	0.004	0.004
20	55	0.014	0.014	0.014	0.027	0.027	0.027
25	55	0.016	0.016	0.016	0.036	0.036	0.036
30	55	0.019	0.019	0.019	0.004	0.004	0.004
35	55	0.022	0.022	0.022	0.525	0.525	0.525
40	55	0.023	0.023	0.023	0.004	0.004	0.004
45	55	0.026	0.026	0.026	0.006	0.006	0.006
50	55	0.028	0.028	0.028	0.053	0.053	0.053
55	55	0.034	0.034	0.034	0.010	0.010	0.010
60	55	0.033	0.033	0.033	0.004	0.004	0.004
65	55	0.036	0.036	0.036	0.004	0.004	0.004
70	55	0.040	0.040	0.040	0.004	0.004	0.004
75	55	0.043	0.043	0.043	0.004	0.004	0.004
80	55	0.043	0.043	0.043	0.004	0.004	0.004
85	55	0.046	0.046	0.046	0.004	0.004	0.004
90	55	0.050	0.050	0.050	0.008	0.008	0.008
95	55	0.051	0.051	0.051	0.023	0.023	0.023
100	55	0.053	0.053	0.053	0.099	0.099	0.099
105	55	0.057	0.057	0.057	0.496	0.496	0.496
110	55	0.070	0.070	0.070	0.010	0.010	0.010
115	55	0.061	0.061	0.061	0.015	0.015	0.015
120	55	0.065	0.065	0.065	0.005	0.005	0.005
125	55	0.066	0.066	0.066	0.004	0.004	0.004
130	55	0.067	0.067	0.067	0.004	0.004	0.004
135	55	0.070	0.070	0.070	0.004	0.004	0.004
140	55	0.075	0.075	0.075	0.004	0.004	0.004
145	55	0.078	0.078	0.078	0.004	0.004	0.004
150	55	0.080	0.080	0.080	0.004	0.004	0.004
155	55	0.079	0.079	0.079	0.004	0.004	0.004
160	55	0.082	0.082	0.082	0.004	0.004	0.004
165	55	0.089	0.089	0.089	0.004	0.004	0.004
170	55	0.088	0.088	0.088	0.004	0.004	0.004
175	55	0.091	0.091	0.091	0.004	0.004	0.004
180	55	0.093	0.093	0.093	0.004	0.004	0.004
185	55	0.097	0.097	0.097	0.004	0.004	0.004
190	55	0.098	0.098	0.098	0.004	0.004	0.004
195	55	0.104	0.104	0.104	0.004	0.004	0.004
200	55	0.103	0.103	0.103	0.004	0.004	0.004
205	55	0.106	0.106	0.106	0.004	0.004	0.004
210	55	0.111	0.111	0.111	0.004	0.004	0.004
215	55	0.109	0.109	0.109	0.004	0.004	0.004
220	55	0.117	0.117	0.117	0.004	0.004	0.004
225	55	0.119	0.119	0.119	0.004	0.004	0.004
230	55	0.120	0.120	0.120	0.004	0.004	0.004
235	55	0.122	0.122	0.122	0.004	0.004	0.004
240	55	0.122	0.122	0.122	0.004	0.004	0.004
245	55	0.126	0.126	0.126	0.004	0.004	0.004
250	55	0.127	0.127	0.127	0.004	0.004	0.004
255	55	0.130	0.130	0.130	0.004	0.004	0.004
260	55	0.132	0.132	0.132	0.004	0.004	0.004
265	55	0.139	0.139	0.139	0.004	0.004	0.004
270	55	0.139	0.139	0.139	0.004	0.004	0.004
275	55	0.140	0.140	0.140	0.004	0.004	0.004
280	55	0.146	0.146	0.146	0.004	0.004	0.004
285	55	0.144	0.144	0.144	0.004	0.004	0.004
290	55	0.152	0.152	0.152	0.004	0.004	0.004
295	55	0.154	0.154	0.154	0.004	0.004	0.004
300	55	0.156	0.156	0.156	0.004	0.004	0.004
305	55	0.154	0.154	0.154	0.004	0.004	0.004
310	55	0.159	0.159	0.159	0.004	0.004	0.004
315	55	0.164	0.164	0.164	0.004	0.004	0.004
320	55	0.166	0.166	0.166	0.004	0.004	0.004
325	55	0.161	0.161	0.161	0.004	0.004	0.004
330	55	0.171	0.171	0.171	0.004	0.004	0.004
335	55	0.171	0.171	0.171	0.004	0.004	0.004
340	55	0.172	0.172	0.172	0.004	0.004	0.004
345	55	0.177	0.177	0.177	0.004	0.004	0.004
350	55	0.176	0.176	0.176	0.004	0.004	0.004
355	55	0.187	0.187	0.187	0.004	0.004	0.004
360	55	0.190	0.190	0.190	0.004	0.004	0.004
365	55	0.186	0.186	0.186	0.004	0.004	0.004
370	55	0.189	0.189	0.189	0.004	0.004	0.004
375	55	0.192	0.192	0.192	0.004	0.004	0.004
380	55	0.189	0.189	0.189	0.004	0.004	0.004
385	55	0.197	0.197	0.197	0.004	0.004	0.004
390	55	0.197	0.197	0.197	0.004	0.004	0.004
395	55	0.207	0.207	0.207	0.004	0.004	0.004
400	55	0.196	0.196	0.196	0.004	0.004	0.004
405	55	0.206	0.206	0.206	0.004	0.004	0.004
410	55	0.213	0.213	0.213	0.004	0.004	0.004
415	55	0.206	0.206	0.206	0.004	0.004	0.004
420	55	0.215	0.215	0.215	0.004	0.004	0.004
425	55	0.215	0.215	0.215	0.004	0.004	0.004
430	55	0.221	0.221	0.221	0.004	0.004	0.004
435	55	0.224	0.224	0.224	0.004	0.004	0.004
440	55	0.227	0.227	0.227	0.004	0.004	0.004
445	55	0.223	0.223	0.223	0.004	0.004	0.004
450	55	0.236	0.236	0.236	0.004	0.004	0.004
455	55	0.230	0.230	0.230	0.004	0.004	0.004
460	55	0.243	0.243	0.243	0.004	0.004	0.004
465	55	0.229	0.229	0.229	0.004	0.004	0.004
470	55	0.241	0.241	0.241	0.004	0.004	0.004
475	55	0.238	0.238	0.238	0.004	0.004	0.004
480	55	0.240	0.240	0.240	0.004	0.004	0.004
485	55	0.251	0.251	0.251	0.004	0.004	0.004
490	55	0.246	0.246	0.246	0.004	0.004	0.004
495	55	0.249	0.249	0.249	0.004	0.004	0.004
500	55	0.251	0.251	0.251	0.004	0.004	0.004
505	55	0.254	0.254	0.254	0.004	0.004	0.004
510	55	0.254	0.254	0.254	0.004	0.004	0.004
515	55	0.261	0.261	0.261	0.004	0.004	0.004
520	55	0.261	0.261	0.261	0.004	0.004	0.004
525	55	0.267	0.267	0.267	0.004	0.004	0.004
530	55	0.275	0.275	0.275	0.004	0.004	0.004
535	55	0.274	0.274	0.274	0.004	0.004	0.004
540	55	0.266	0.266	0.266	0.004	0.004	0.004
545	55	0.273	0.273	0.273	0.004	0.004	0.004
550	55	0.277	0.277	0.277	0.004	0.004	0.004
555	55	0.288	0.288	0.288	0.004	0.004	0.004
560	55	0.291	0.291	0.291	0.004	0.004	0.004
565	55	0.291	0.291	0.291	0.004	0.004	0.004
570	55	0.290	0.290	0.290	0.004	0.004	0.004
575	55	0.291	0.291	0.291	0.004	0.004	0.004
580	55	0.287	0.287	0.287	0.004	0.004	0.004
585	55	0.301	0.301	0.301	0.004	0.004	0.004
590	55	0.307	0.307	0.307	0.004	0.004	0.004
595	55	0.297	0.297	0.297	0.004	0.004	0.004
600	55	0.306	0.306	0.306	0.004	0.004	0.004
605	55	0.296	0.296	0.296	0.004	0.004	0.004
610	55	0.316	0.316	0.316	0.004	0.004	0.004
