poll	workload	req_delay	req_min	req_max	rep_delay	rep_min	rep_max
320	480	0.154	0.154	0.154	0.004	0.004	0.004
640	480	0.307	0.307	0.307	0.006	0.006	0.006
960	480	0.460	0.460	0.460	0.019	0.019	0.019
320	485	0.155	0.155	0.155	0.004	0.004	0.004
640	485	0.309	0.309	0.309	0.008	0.008	0.008
960	485	0.460	0.460	0.460	0.032	0.032	0.032
320	490	0.155	0.155	0.155	0.004	0.004	0.004
640	490	0.307	0.307	0.307	0.007	0.007	0.007
960	490	0.455	0.455	0.455	0.041	0.041	0.041
320	495	0.155	0.155	0.155	0.004	0.004	0.004
640	495	0.302	0.302	0.302	0.004	0.004	0.004
960	495	0.462	0.462	0.462	0.041	0.041	0.041
320	500	0.155	0.155	0.155	0.004	0.004	0.004
640	500	0.304	0.304	0.304	0.009	0.009	0.009
960	500	0.458	0.458	0.458	0.056	0.056	0.056
320	505	0.154	0.154	0.154	0.004	0.004	0.004
640	505	0.310	0.310	0.310	0.004	0.004	0.004
960	505	0.458	0.458	0.458	0.048	0.048	0.048
320	510	0.155	0.155	0.155	0.004	0.004	0.004
640	510	0.306	0.306	0.306	0.010	0.010	0.010
960	510	0.456	0.456	0.456	0.048	0.048	0.048
320	515	0.154	0.154	0.154	0.004	0.004	0.004
640	515	0.303	0.303	0.303	0.008	0.008	0.008
960	515	0.457	0.457	0.457	0.063	0.063	0.063
320	520	0.153	0.153	0.153	0.004	0.004	0.004
640	520	0.307	0.307	0.307	0.009	0.009	0.009
960	520	0.464	0.464	0.464	0.058	0.058	0.058
320	525	0.156	0.156	0.156	0.004	0.004	0.004
640	525	0.307	0.307	0.307	0.010	0.010	0.010
960	525	0.456	0.456	0.456	0.050	0.050	0.050
320	530	0.156	0.156	0.156	0.004	0.004	0.004
640	530	0.305	0.305	0.305	0.008	0.008	0.008
960	530	0.457	0.457	0.457	0.054	0.054	0.054
320	535	0.154	0.154	0.154	0.004	0.004	0.004
640	535	0.307	0.307	0.307	0.006	0.006	0.006
960	535	0.456	0.456	0.456	0.038	0.038	0.038
320	540	0.156	0.156	0.156	0.004	0.004	0.004
640	540	0.302	0.302	0.302	0.011	0.011	0.011
960	540	0.456	0.456	0.456	0.035	0.035	0.035
320	545	0.153	0.153	0.153	0.004	0.004	0.004
640	545	0.305	0.305	0.305	0.012	0.012	0.012
960	545	0.453	0.453	0.453	0.070	0.070	0.070
320	550	0.154	0.154	0.154	0.004	0.004	0.004
640	550	0.303	0.303	0.303	0.009	0.009	0.009
960	550	0.004	0.004	0.004	0.004	0.004	0.004
320	555	0.153	0.153	0.153	0.004	0.004	0.004
640	555	0.304	0.304	0.304	0.010	0.010	0.010
960	555	0.462	0.462	0.462	0.083	0.083	0.083
320	560	0.155	0.155	0.155	0.004	0.004	0.004
640	560	0.302	0.302	0.302	0.005	0.005	0.005
960	560	0.454	0.454	0.454	0.076	0.076	0.076
320	565	0.155	0.155	0.155	0.004	0.004	0.004
640	565	0.304	0.304	0.304	0.009	0.009	0.009
960	565	0.460	0.460	0.460	0.060	0.060	0.060
320	570	0.152	0.152	0.152	0.004	0.004	0.004
640	570	0.300	0.300	0.300	0.010	0.010	0.010
960	570	0.446	0.446	0.446	0.067	0.067	0.067
320	575	0.152	0.152	0.152	0.004	0.004	0.004
640	575	0.303	0.303	0.303	0.020	0.020	0.020
960	575	0.455	0.455	0.455	0.090	0.090	0.090
320	580	0.153	0.153	0.153	0.004	0.004	0.004
640	580	0.302	0.302	0.302	0.011	0.011	0.011
960	580	0.455	0.455	0.455	0.082	0.082	0.082
320	585	0.154	0.154	0.154	0.004	0.004	0.004
640	585	0.303	0.303	0.303	0.018	0.018	0.018
960	585	0.453	0.453	0.453	0.133	0.133	0.133
320	590	0.154	0.154	0.154	0.004	0.004	0.004
640	590	0.303	0.303	0.303	0.016	0.016	0.016
960	590	0.455	0.455	0.455	0.140	0.140	0.140
320	595	0.153	0.153	0.153	0.004	0.004	0.004
640	595	0.301	0.301	0.301	0.010	0.010	0.010
960	595	0.455	0.455	0.455	0.131	0.131	0.131
320	600	0.153	0.153	0.153	0.004	0.004	0.004
640	600	0.301	0.301	0.301	0.010	0.010	0.010
960	600	0.455	0.455	0.455	0.131	0.131	0.131
320	605	0.153	0.153	0.153	0.004	0.004	0.004
640	605	0.304	0.304	0.304	0.018	0.018	0.018
960	605	0.454	0.454	0.454	0.155	0.155	0.155
320	610	0.154	0.154	0.154	0.004	0.004	0.004
640	610	0.305	0.305	0.305	0.015	0.015	0.015
960	610	0.447	0.447	0.447	0.147	0.147	0.147
320	615	0.152	0.152	0.152	0.004	0.004	0.004
640	615	0.302	0.302	0.302	0.019	0.019	0.019
960	615	0.452	0.452	0.452	0.141	0.141	0.141
320	620	0.153	0.153	0.153	0.004	0.004	0.004
640	620	0.300	0.300	0.300	0.018	0.018	0.018
960	620	0.450	0.450	0.450	0.117	0.117	0.117
320	625	0.153	0.153	0.153	0.004	0.004	0.004
640	625	0.300	0.300	0.300	0.018	0.018	0.018
960	625	0.450	0.450	0.450	0.117	0.117	0.117
320	630	0.153	0.153	0.153	0.004	0.004	0.004
640	630	0.299	0.299	0.299	0.016	0.016	0.016
960	630	0.452	0.452	0.452	0.153	0.153	0.153
320	635	0.153	0.153	0.153	0.005	0.005	0.005
640	635	0.300	0.300	0.300	0.022	0.022	0.022
960	635	0.448	0.448	0.448	0.123	0.123	0.123
320	640	0.154	0.154	0.154	0.004	0.004	0.004
640	640	0.300	0.300	0.300	0.023	0.023	0.023
960	640	0.451	0.451	0.451	0.173	0.173	0.173
320	645	0.154	0.154	0.154	0.004	0.004	0.004
640	645	0.300	0.300	0.300	0.023	0.023	0.023
960	645	0.451	0.451	0.451	0.173	0.173	0.173
320	650	0.153	0.153	0.153	0.004	0.004	0.004
640	650	0.303	0.303	0.303	0.017	0.017	0.017
960	650	0.451	0.451	0.451	0.146	0.146	0.146
320	655	0.152	0.152	0.152	0.004	0.004	0.004
640	655	0.300	0.300	0.300	0.023	0.023	0.023
960	655	0.450	0.450	0.450	0.178	0.178	0.178
320	660	0.153	0.153	0.153	0.004	0.004	0.004
640	660	0.298	0.298	0.298	0.025	0.025	0.025
960	660	0.449	0.449	0.449	0.175	0.175	0.175
320	665	0.153	0.153	0.153	0.004	0.004	0.004
640	665	0.298	0.298	0.298	0.025	0.025	0.025
960	665	0.449	0.449	0.449	0.175	0.175	0.175
320	670	0.153	0.153	0.153	0.005	0.005	0.005
640	670	0.301	0.301	0.301	0.036	0.036	0.036
960	670	0.449	0.449	0.449	0.232	0.232	0.232
320	675	0.150	0.150	0.150	0.005	0.005	0.005
640	675	0.297	0.297	0.297	0.029	0.029	0.029
960	675	0.448	0.448	0.448	0.243	0.243	0.243
320	680	0.150	0.150	0.150	0.005	0.005	0.005
640	680	0.297	0.297	0.297	0.029	0.029	0.029
960	680	0.448	0.448	0.448	0.243	0.243	0.243
320	685	0.150	0.150	0.150	0.004	0.004	0.004
640	685	0.295	0.295	0.295	0.034	0.034	0.034
960	685	0.450	0.450	0.450	0.203	0.203	0.203
320	690	0.151	0.151	0.151	0.004	0.004	0.004
640	690	0.298	0.298	0.298	0.028	0.028	0.028
960	690	0.453	0.453	0.453	0.245	0.245	0.245
320	695	0.151	0.151	0.151	0.004	0.004	0.004
640	695	0.298	0.298	0.298	0.028	0.028	0.028
960	695	0.453	0.453	0.453	0.245	0.245	0.245
320	700	0.151	0.151	0.151	0.005	0.005	0.005
640	700	0.301	0.301	0.301	0.028	0.028	0.028
960	700	0.446	0.446	0.446	0.232	0.232	0.232
320	705	0.151	0.151	0.151	0.005	0.005	0.005
640	705	0.301	0.301	0.301	0.028	0.028	0.028
960	705	0.445	0.445	0.445	0.232	0.232	0.232
320	710	0.150	0.150	0.150	0.006	0.006	0.006
640	710	0.302	0.302	0.302	0.043	0.043	0.043
960	710	0.457	0.457	0.457	0.285	0.285	0.285
320	715	0.152	0.152	0.152	0.005	0.005	0.005
640	715	0.297	0.297	0.297	0.035	0.035	0.035
960	715	0.451	0.451	0.451	0.298	0.298	0.298
320	720	0.152	0.152	0.152	0.005	0.005	0.005
640	720	0.297	0.297	0.297	0.035	0.035	0.035
960	720	0.451	0.451	0.451	0.297	0.297	0.297
320	725	0.150	0.150	0.150	0.006	0.006	0.006
640	725	0.296	0.296	0.296	0.026	0.026	0.026
960	725	0.452	0.452	0.452	0.250	0.250	0.250
320	730	0.150	0.150	0.150	0.006	0.006	0.006
640	730	0.297	0.297	0.297	0.026	0.026	0.026
960	730	0.452	0.452	0.452	0.250	0.250	0.250
320	735	0.150	0.150	0.150	0.005	0.005	0.005
640	735	0.297	0.297	0.297	0.042	0.042	0.042
960	735	0.000	0.000	0.000	0.000	0.000	0.000
320	740	0.150	0.150	0.150	0.005	0.005	0.005
640	740	0.297	0.297	0.297	0.042	0.042	0.042
960	740	0.000	0.000	0.000	0.000	0.000	0.000
320	745	0.150	0.150	0.150	0.005	0.005	0.005
640	745	0.298	0.298	0.298	0.049	0.049	0.049
960	745	0.452	0.452	0.452	0.317	0.317	0.317
320	750	0.150	0.150	0.150	0.005	0.005	0.005
640	750	0.298	0.298	0.298	0.049	0.049	0.049
960	750	0.452	0.452	0.452	0.317	0.317	0.317
320	755	0.151	0.151	0.151	0.005	0.005	0.005
640	755	0.298	0.298	0.298	0.043	0.043	0.043
960	755	0.460	0.460	0.460	0.341	0.341	0.341
320	760	0.150	0.150	0.150	0.004	0.004	0.004
640	760	0.297	0.297	0.297	0.057	0.057	0.057
960	760	0.451	0.451	0.451	0.349	0.349	0.349
320	765	0.150	0.150	0.150	0.004	0.004	0.004
640	765	0.297	0.297	0.297	0.057	0.057	0.057
960	765	0.451	0.451	0.451	0.348	0.348	0.348
320	770	0.151	0.151	0.151	0.004	0.004	0.004
640	770	0.295	0.295	0.295	0.060	0.060	0.060
960	770	0.446	0.446	0.446	0.370	0.370	0.370
320	775	0.151	0.151	0.151	0.004	0.004	0.004
640	775	0.295	0.295	0.295	0.060	0.060	0.060
960	775	0.446	0.446	0.446	0.370	0.370	0.370
320	780	0.150	0.150	0.150	0.006	0.006	0.006
640	780	0.297	0.297	0.297	0.064	0.064	0.064
960	780	0.448	0.448	0.448	0.389	0.389	0.389
320	785	0.150	0.150	0.150	0.006	0.006	0.006
640	785	0.297	0.297	0.297	0.064	0.064	0.064
960	785	0.448	0.448	0.448	0.389	0.389	0.389
320	790	0.150	0.150	0.150	0.005	0.005	0.005
640	790	0.296	0.296	0.296	0.060	0.060	0.060
960	790	0.451	0.451	0.451	0.382	0.382	0.382
320	795	0.150	0.150	0.150	0.005	0.005	0.005
640	795	0.296	0.296	0.296	0.060	0.060	0.060
960	795	0.451	0.451	0.451	0.381	0.381	0.381
320	800	0.150	0.150	0.150	0.005	0.005	0.005
640	800	0.296	0.296	0.296	0.060	0.060	0.060
960	800	0.451	0.451	0.451	0.381	0.381	0.381
320	805	0.149	0.149	0.149	0.005	0.005	0.005
640	805	0.298	0.298	0.298	0.072	0.072	0.072
960	805	0.447	0.447	0.447	0.387	0.387	0.387
320	810	0.149	0.149	0.149	0.005	0.005	0.005
640	810	0.298	0.298	0.298	0.072	0.072	0.072
960	810	0.447	0.447	0.447	0.387	0.387	0.387
320	815	0.147	0.147	0.147	0.005	0.005	0.005
640	815	0.295	0.295	0.295	0.074	0.074	0.074
960	815	0.455	0.455	0.455	0.398	0.398	0.398
320	820	0.147	0.147	0.147	0.005	0.005	0.005
640	820	0.294	0.294	0.294	0.073	0.073	0.073
960	820	0.455	0.455	0.455	0.397	0.397	0.397
320	825	0.151	0.151	0.151	0.004	0.004	0.004
640	825	0.297	0.297	0.297	0.087	0.087	0.087
960	825	0.457	0.457	0.457	0.474	0.474	0.474
320	830	0.151	0.151	0.151	0.004	0.004	0.004
640	830	0.297	0.297	0.297	0.089	0.089	0.089
960	830	0.457	0.457	0.457	0.473	0.473	0.473
320	835	0.148	0.148	0.148	0.004	0.004	0.004
640	835	0.295	0.295	0.295	0.074	0.074	0.074
960	835	0.452	0.452	0.452	0.471	0.471	0.471
320	840	0.148	0.148	0.148	0.004	0.004	0.004
640	840	0.294	0.294	0.294	0.074	0.074	0.074
960	840	0.452	0.452	0.452	0.471	0.471	0.471
320	845	0.148	0.148	0.148	0.004	0.004	0.004
640	845	0.294	0.294	0.294	0.074	0.074	0.074
960	845	0.452	0.452	0.452	0.471	0.471	0.471
320	850	0.150	0.150	0.150	0.007	0.007	0.007
640	850	0.292	0.292	0.292	0.091	0.091	0.091
960	850	0.450	0.450	0.450	0.490	0.490	0.490
320	855	0.150	0.150	0.150	0.007	0.007	0.007
640	855	0.291	0.291	0.291	0.091	0.091	0.091
960	855	0.450	0.450	0.450	0.489	0.489	0.489
320	860	0.150	0.150	0.150	0.006	0.006	0.006
640	860	0.298	0.298	0.298	0.099	0.099	0.099
960	860	0.460	0.460	0.460	0.474	0.474	0.474
320	865	0.150	0.150	0.150	0.006	0.006	0.006
640	865	0.298	0.298	0.298	0.100	0.100	0.100
960	865	0.459	0.459	0.459	0.474	0.474	0.474
320	870	0.148	0.148	0.148	0.010	0.010	0.010
640	870	0.293	0.293	0.293	0.101	0.101	0.101
960	870	0.452	0.452	0.452	0.513	0.513	0.513
320	875	0.148	0.148	0.148	0.010	0.010	0.010
640	875	0.293	0.293	0.293	0.101	0.101	0.101
960	875	0.452	0.452	0.452	0.512	0.512	0.512
320	880	0.148	0.148	0.148	0.010	0.010	0.010
640	880	0.293	0.293	0.293	0.101	0.101	0.101
960	880	0.452	0.452	0.452	0.511	0.511	0.511
320	885	0.148	0.148	0.148	0.010	0.010	0.010
